date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:39	242/242	---M--	200	added ('OK')	image/png	etag:%22922628fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postemailicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postemailicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:40	705433/705433	---M--	200	added ('OK')	image/jpeg	etag:%22acdf23fbaa5d01:0%22	https://portal.unaab.edu.ng/images/page.jpeg	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/page.jpg	(from https://portal.unaab.edu.ng/style.css)
21:20:40	594/594	---M--	200	added ('OK')	image/png	etag:%223b8927fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postediticon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postediticon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:43	129/129	---M--	200	added ('OK')	image/png	etag:%22c1a25fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postbullets.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postbullets.png	(from https://portal.unaab.edu.ng/style.css)
21:20:43	444/444	---M--	200	added ('OK')	image/png	etag:%2269482afbaa5d01:0%22	https://portal.unaab.edu.ng/images/postquote.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postquote.png	(from https://portal.unaab.edu.ng/style.css)
21:20:44	275/275	---M--	200	added ('OK')	image/png	etag:%2286db25fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postcategoryicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postcategoryicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:46	204/204	---M--	200	added ('OK')	image/png	etag:%22a9e42afbaa5d01:0%22	https://portal.unaab.edu.ng/images/posttagicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/posttagicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:47	349/349	---M--	200	added ('OK')	image/png	etag:%22d15026fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postcommentsicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postcommentsicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:47	2157/2157	---M--	200	added ('OK')	image/png	etag:%2289d61efbaa5d01:0%22	https://portal.unaab.edu.ng/images/footerrssicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/footerrssicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:48	929/929	---M--	200	added ('OK')	image/png	etag:%2235131efbaa5d01:0%22	https://portal.unaab.edu.ng/images/footerfacebookicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/footerfacebookicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:50	2847/2847	---M--	200	added ('OK')	image/png	etag:%2269731ffbaa5d01:0%22	https://portal.unaab.edu.ng/images/footertwittericon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/footertwittericon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:51	103/103	---M--	200	added ('OK')	image/png	etag:%22ec281dfbaa5d01:0%22	https://portal.unaab.edu.ng/images/footerbullets.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/footerbullets.png	(from https://portal.unaab.edu.ng/style.css)
21:20:52	3117/3117	---M--	200	added ('OK')	image/gif	etag:%224f2a2ffbaa5d01:0%22	https://portal.unaab.edu.ng/images/preloader-01.gif	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/preloader-01.gif	(from https://portal.unaab.edu.ng/style.css)
21:20:53	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:13:16%20GMT	https://portal.unaab.edu.ng/images2/info.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images2/info.2a.delayed	(from https://portal.unaab.edu.ng/style.css)
21:20:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:13:17%20GMT	https://portal.unaab.edu.ng/images2/success.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images2/success.2b.delayed	(from https://portal.unaab.edu.ng/style.css)
21:20:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:13:19%20GMT	https://portal.unaab.edu.ng/warning.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/warning.2c.delayed	(from https://portal.unaab.edu.ng/style.css)
21:20:58	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:13:21%20GMT	https://portal.unaab.edu.ng/images2/error.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images2/error.2d.delayed	(from https://portal.unaab.edu.ng/style.css)
21:20:59	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:13:21%20GMT	https://portal.unaab.edu.ng/validation.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/validation.2e.delayed	(from https://portal.unaab.edu.ng/style.css)
21:20:59	3084/3084	---M-Z	200	added ('OK')	text/css	etag:%22c248b77666e5d41:0%22	https://portal.unaab.edu.ng/home.css	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/home.css	(from https://portal.unaab.edu.ng/Default.aspx)
21:21:01	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/USER/Desktop/funaab%20portal/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://portal.unaab.edu.ng/Default.aspx)
21:21:05	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/USER/Desktop/funaab%20portal/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://portal.unaab.edu.ng/Default.aspx)
21:21:07	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/USER/Desktop/funaab%20portal/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://portal.unaab.edu.ng/Default.aspx)
21:21:25	7811/7811	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:13:47%20GMT	https://portal.unaab.edu.ng/Secure/PrintReceipt.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Secure/PrintReceipt.html	(from https://portal.unaab.edu.ng/Default.aspx)
